Category,Metric,Value
DATASET,Total Tweets,"42,110"
DATASET,Left Tweets,"15,244"
DATASET,Right Tweets,"26,866"
DATASET,Unique Users,"28,200"
SENTIMENT (VADER),Overall Positive,63.07%
SENTIMENT (VADER),Overall Negative,36.93%
SENTIMENT (VADER),Left Positive,64.18%
SENTIMENT (VADER),Right Positive,62.44%
SENTIMENT (TEXTBLOB),Overall Positive,76.00%
SENTIMENT (TEXTBLOB),Overall Negative,24.00%
SENTIMENT (TEXTBLOB),Left Positive,76.72%
SENTIMENT (TEXTBLOB),Right Positive,75.59%
SENTIMENT (RoBERTa),Overall Positive,15.32%
SENTIMENT (RoBERTa),Overall Negative,84.68%
SENTIMENT (RoBERTa),Left Positive,19.52%
SENTIMENT (RoBERTa),Right Positive,12.93%
SENTIMENT (Majority Vote),Overall Positive,56.19%
SENTIMENT (Majority Vote),Overall Negative,43.81%
SENTIMENT (Majority Vote),Left Positive,57.81%
SENTIMENT (Majority Vote),Right Positive,55.27%
POLARIZATION,VADER Score,0.0174
POLARIZATION,TEXTBLOB Score,0.0113
POLARIZATION,RoBERTa Score,0.0658
POLARIZATION,Majority Vote Score,0.0254
NETWORK,Total Nodes,75371.0
NETWORK,Total Edges,247693.0
NETWORK,Largest Component Nodes,75371.0
NETWORK,Largest Component Edges,247693.0
NETWORK,Communities Detected,54.0
NETWORK,Modularity Score,0.5731
NETWORK,Echo Chamber Score,0.7487
NETWORK,Same Ideology Interactions,185447.0
NETWORK,Cross Ideology Interactions,62246.0
NETWORK,Left to Left,20324.0
NETWORK,Left to Right,57511.0
NETWORK,Right to Left,4735.0
NETWORK,Right to Right,165123.0
